Date,Series,Value
2017-12-23 00:00:00,Volume Intensity,0.6780
2017-12-24 00:00:00,Volume Intensity,0.5177
2017-12-25 00:00:00,Volume Intensity,0.5519
2017-12-26 00:00:00,Volume Intensity,0.6942
2017-12-27 00:00:00,Volume Intensity,0.5918
2017-12-28 00:00:00,Volume Intensity,0.7391
2017-12-29 00:00:00,Volume Intensity,0.7324
2017-12-30 00:00:00,Volume Intensity,0.5004
2017-12-31 00:00:00,Volume Intensity,0.4835
2018-01-01 00:00:00,Volume Intensity,0.4377
2018-01-02 00:00:00,Volume Intensity,0.6463
2018-01-03 00:00:00,Volume Intensity,0.5863
2018-01-04 00:00:00,Volume Intensity,0.4688
2018-01-05 00:00:00,Volume Intensity,0.4518
2018-01-06 00:00:00,Volume Intensity,0.3684
2018-01-07 00:00:00,Volume Intensity,0.3946
2018-01-08 00:00:00,Volume Intensity,0.4546
2018-01-09 00:00:00,Volume Intensity,0.5310
2018-01-10 00:00:00,Volume Intensity,0.5568
2018-01-11 00:00:00,Volume Intensity,0.7404
2018-01-12 00:00:00,Volume Intensity,0.5569
2018-01-13 00:00:00,Volume Intensity,0.4468
2018-01-14 00:00:00,Volume Intensity,0.3466
2018-01-15 00:00:00,Volume Intensity,0.4819
2018-01-16 00:00:00,Volume Intensity,0.6968
2018-01-17 00:00:00,Volume Intensity,0.8826
2018-01-18 00:00:00,Volume Intensity,0.6579
2018-01-19 00:00:00,Volume Intensity,0.5755
2018-01-20 00:00:00,Volume Intensity,0.3501
2018-01-21 00:00:00,Volume Intensity,0.3077
2018-01-22 00:00:00,Volume Intensity,0.4604
2018-01-23 00:00:00,Volume Intensity,0.4961
2018-01-24 00:00:00,Volume Intensity,0.3933
2018-01-25 00:00:00,Volume Intensity,0.4883
2018-01-26 00:00:00,Volume Intensity,0.5053
2018-01-27 00:00:00,Volume Intensity,0.4635
